"Class","Manufacturer","carline name","displ","cyl","trans","drv","bidx","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"TWO SEATERS","CADILLAC","XLR"," 4.6",8,"Auto(S5)","R",116,17,25,19,18.4,31.7,22.6825,"P","","","","","","","","","",1539," ","CLKUP ",4,"01"
"TWO SEATERS","CHEVROLET","CORVETTE"," 6.0",8,"Auto(L4)","R",125,18,26,21,20.4,34.1,24.9021,"P","","","","","","","","","",1392," ","CLKUP ",2,"01"
"TWO SEATERS","CHEVROLET","CORVETTE"," 6.0",8,"Manual(M6)","R",130,18,28,21,19.8,36.4,24.9125,"P","","","","","","","","","",1392," ","",2,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE"," 3.2",6,"Auto(L5)","R",250,21,28,24,23.4,35.4,27.612,"P","","","","","","","","","",1220," ","CLKUP ",3,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE"," 3.2",6,"Auto(L5)","R",260,17,24,20,19.1,30.9,23.0633,"P","","","S","","","","","","",1462," ","CLKUP ",3,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE"," 3.2",6,"Manual(M6)","R",250,17,25,20,18.8,32.4,23.1781,"P","","","","","","","","","",1462," ","",3,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER"," 3.2",6,"Auto(L5)","R",250,21,28,24,23.4,35.4,27.612,"P","","","","","","","","","",1220," ","CLKUP ",3,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER"," 3.2",6,"Auto(L5)","R",260,17,24,20,19.1,30.9,23.0633,"P","","","S","","","","","","",1462," ","CLKUP ",3,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER"," 3.2",6,"Manual(M6)","R",250,17,25,20,18.8,32.4,23.1781,"P","","","","","","","","","",1462," ","",3,"01"
"TWO SEATERS","DODGE","VIPER CONVERTIBLE"," 8.3",10,"Manual(M6)","R",510,12,20,15,13.4,25.9,17.1176,"P","G","","","","","","","","",1951," ","",2,"01"
"TWO SEATERS","FERRARI","360 MODENA/SPIDER/CHALLENGE"," 3.6",8,"Manual(M6)","R",2,11,16,13,11.9,20.2,14.5995,"P","G","","","","","","","","",2249," ","",5,"01"
"TWO SEATERS","FERRARI","360 MODENA/SPIDER/CHALLENGE"," 3.6",8,"Auto(S6)","R",2,10,16,12,11.6498,20.498,14.4583,"P","G","","","","","","","","",2437," ","3MODE ",5,"01"
"TWO SEATERS","FERRARI","FERRARI 575 M MARANELLO"," 5.7",12,"Manual(M6)","R",1,10,16,12,10.6,20.3,13.5036,"P","G","","","","","","","","",2437," ","",4,"01"
"TWO SEATERS","FERRARI","FERRARI 575 M MARANELLO"," 5.7",12,"Auto(S6)","R",1,10,17,12,11.2498,21.4,14.3025,"P","G","","","","","","","","",2437," ","3MODE ",4,"01"
"TWO SEATERS","FORD","GT        2WD"," 5.4",8,"Manual(M6)","R",430,13,21,16,15,26.9,18.7282,"P","G","","S","","","","","","",1828," ","",4,"01"
"TWO SEATERS","FORD","THUNDERBIRD"," 3.9",8,"Auto(L5)","R",410,18,24,20,19.7,30.8,23.5133,"P","","","",52,8,"","","","",1462," ","CLKUP ",4,"01"
"TWO SEATERS","FORD","THUNDERBIRD"," 3.9",8,"Auto(S5)","R",411,17,24,20,19.3468,31.1,23.3111,"P","","","",52,8,"","","","",1462," ","CLKUP ",4,"01"
"TWO SEATERS","HONDA","INSIGHT"," 1.0",3,"Auto(AV)","F",1,57,56,56,62.8,71.4,66.3989,"R","","","","","","","","","",483,"HEV","EMS ",4,"01"
"TWO SEATERS","HONDA","INSIGHT"," 1.0",3,"Manual(M5)","F",2,61,66,63,67.7,84.4,74.3172,"R","","","","","","","","","",429,"HEV","SIL EMS ",4,"01"
"TWO SEATERS","HONDA","S2000"," 2.2",4,"Manual(M6)","R",40,20,25,22,21.7,32.5,25.5156,"P","","","","","","","","","",1331," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-140/141 GALLARD0"," 5.0",10,"Manual(M6)","4",1,9,15,11,10.1,19.7,12.9369,"P","G","","","","","","","","",2659," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-140/141 GALLARD0"," 5.0",10,"Auto(S6)","4",2,10,17,12,10.6,21.9,13.8055,"P","G","","","","","","","","",2437," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-147/148 MURCIELAGO"," 6.2",12,"Manual(M6)","4",3,9,13,11,10.1,17.1,12.3806,"P","G","","","","","","","","",2659," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-147/148 MURCIELAGO"," 6.2",12,"Auto(S6)","4",4,10,15,12,10.9,19.6,13.6207,"P","G","","","","","","","","",2437," ","",4,"01"
"TWO SEATERS","LOTUS","LOTUS ELISE/EXIGE"," 1.8",4,"Manual(M6)","R",1,23,27,25,25.8,34.9,29.2297,"P","","","","","","","","","",1170," ","",4,"01"
"TWO SEATERS","MASERATI","SPYDER CAMBIOCORSA/SPYDER GT"," 4.2",8,"Manual(M6)","R",1,12,17,13,12.8,21.2,15.5775,"P","G","","","","","","","","",2249," ","",4,"01"
"TWO SEATERS","MASERATI","SPYDER CAMBIOCORSA/SPYDER GT"," 4.2",8,"Auto(S6)","R",1,12,17,14,12.9755,21.9403,15.8988,"P","G","","","","","","","","",2088," ","3MODE ",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Auto(L4)","R",1,22,28,24,24.6,35.6,28.5729,"P","","","","","","","","","",1220," ","",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Manual(M5)","R",1,23,28,25,25.8,36.4,29.6908,"P","","","","","","","","","",1170," ","",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Manual(M6)","R",1,23,28,25,25.7,35.6,29.3761,"P","","","","","","","","","",1170," ","",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Manual(M6)","R",5,20,26,22,22.7,33,26.4093,"P","","T","","","","","","","",1331,"MIATA T/C","",4,"01"
"TWO SEATERS","MERCEDES-BENZ","	SLR"," 5.4",8,"Auto(S5)","R",35,13,18,15,14.1746,22.541,17.0168,"P","G","","S",48,10,"","","","",1951," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SL500"," 5.0",8,"Auto(L7)","R",47,16,23,18,17.4,29.1,21.2435,"P","G","","",50,7,"","","","",1626," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SL55 AMG"," 5.4",8,"Auto(S5)","R",21,14,20,16,15.0974,25.2964,18.4436,"P","G","","S",50,7,"","","","",1828," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SL600"," 5.5",12,"Auto(L5)","R",26,13,19,15,14.1,24.3,17.3836,"P","G","T","",50,7,"","","","",1951," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SL65 AMG"," 6.0",12,"Auto(S5)","R",39,12,19,15,13.7193,24.545,17.1165,"P","G","T","",50,7,"","","","",1951," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SLK350"," 3.5",6,"Auto(L7)","R",53,19,25,21,21.2,32.6,25.1591,"P","","","",49,7,"","","","",1392," ","EMS 2MODE CLKUP",4,"01"
"TWO SEATERS","MERCEDES-BENZ","SLK350"," 3.5",6,"Manual(M6)","R",53,18,25,21,20.2,32.5,24.3464,"P","","","",49,7,"","","","",1392," ","EMS ",4,"01"
"TWO SEATERS","MERCEDES-BENZ","SLK55 AMG"," 5.4",8,"","R",56,16,22,18,17.4,28.1,20.9981,"P","G","","",49,7,"","","","",1626," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","NISSAN","350Z"," 3.5",6,"Manual(M6)","R",23,20,26,22,21.9307,33.6614,26.0095,"P","","","","","","","","","",1331," ","",4,"01"
"TWO SEATERS","NISSAN","350Z"," 3.5",6,"Manual(M6)","R",27,19,25,22,21.5596,32.6894,25.4604,"P","","","","","","","","","",1331,"DVVT","",4,"01"
"TWO SEATERS","NISSAN","350Z"," 3.5",6,"Auto(S5)","R",23,19,26,21,21.1,32.7,25.1081,"P","","","","","","","","","",1392," ","CLKUP ",4,"01"
"TWO SEATERS","NISSAN","350Z ROADSTER"," 3.5",6,"Manual(M6)","R",24,20,26,22,21.7,33.1666,25.698,"P","","","","","","","","","",1331," ","",4,"01"
"TWO SEATERS","NISSAN","350Z ROADSTER"," 3.5",6,"Auto(S5)","R",24,18,25,21,20.5304,31.7653,24.4165,"P","","","","","","","","","",1392," ","CLKUP ",4,"01"
"TWO SEATERS","PORSCHE","CARRERA 2 911 GT3"," 3.6",6,"Manual(M6)","R",600,15,23,18,16.7007,29.3824,20.7262,"P","G","","","","","","","","",1626," ","",4,"01"
"TWO SEATERS","PORSCHE","CARRERA GT"," 5.7",10,"Manual(M6)","R",999,10,16,12,11.5093,20.2159,14.2761,"P","G","","","","","","","","",2437," ","2MODE ",4,"01"
"TWO SEATERS","PORSCHE","TURBO   2 911 GT2"," 3.6",6,"Manual(M6)","R",500,15,23,18,16.833,29.93,20.9604,"P","G","T","","","","","","","",1626," ","",4,"01"
"TWO SEATERS","TOYOTA","MR2"," 1.8",4,"Manual(M5)","R",8,26,32,29,29.1,41.3,33.5613,"R","","","",46,2,"","","","",932," ","",4,"01"
"TWO SEATERS","TOYOTA","MR2"," 1.8",4,"Manual(M6)","R",8,26,33,29,29,42.1,33.7219,"R","","","",46,2,"","","","",932," ","",4,"01"
"MINICOMPACT CARS","ASTON MARTIN","DB9"," 5.9",12,"Auto(S6)","R",230,11,19,14,12.75,23.8895,16.1358,"P","G","","",78,5,"","","","",2088," ","CLKUP ",4,"02"
"MINICOMPACT CARS","ASTON MARTIN","DB9 VOLANTE"," 5.9",12,"Auto(S6)","R",231,11,18,14,12.7642,22.8891,15.9364,"P","G","","",78,5,"","","","",2088," ","CLKUP ",4,"02"
"MINICOMPACT CARS","ASTON MARTIN","V12 VANQUISH S"," 5.9",12,"Auto(S6)","R",232,11,17,13,12.1251,21.9955,15.1931,"P","G","","",78,6,"","","","",2249," ","CLKUP ",4,"02"
"MINICOMPACT CARS","AUDI","TT COUPE"," 1.8",4,"Auto(S6)","F",13,21,29,24,23.1,37.1,27.825,"P","","T","","","","","",65,14,1220," ","3MODE CLKUP ",5,"02"
"MINICOMPACT CARS","AUDI","TT COUPE QUATTRO"," 1.8",4,"Manual(M6)","4",13,20,29,23,22.1726,36.5686,26.9462,"P","","T","","","","","",65,11,1272," ","",5,"02"
"MINICOMPACT CARS","AUDI","TT COUPE QUATTRO"," 3.2",6,"Auto(S6)","4",15,22,27,24,24.7,34.1,28.1979,"P","","","","","","","",65,11,1220," ","3MODE ",5,"02"
"MINICOMPACT CARS","BMW","325CI CONVERTIBLE"," 2.5",6,"Manual(M5)","R",25,19,27,22,20.8,34.5,25.3256,"P","","","",74,9,"","","","",1331," ","",4,"02"
"MINICOMPACT CARS","BMW","325CI CONVERTIBLE"," 2.5",6,"Auto(S5)","R",25,18,26,21,20.5,33.9,24.9354,"P","","","",74,9,"","","","",1392," ","3MODE CLKUP ",4,"02"
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE"," 3.0",6,"Manual(M6)","R",30,19,28,23,21.6,36.5,26.4608,"P","","","",74,9,"","","","",1272," ","",4,"02"
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE"," 3.0",6,"Auto(S5)","R",30,18,25,21,20.4,32.5,24.5056,"P","","","",74,9,"","","","",1392," ","3MODE CLKUP ",4,"02"
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE"," 3.0",6,"Auto(S6)","R",30,19,27,22,21.1528,34.7518,25.6738,"P","","","",74,9,"","","","",1331," ","4MODE ",4,"02"
"MINICOMPACT CARS","BMW","M3 CONVERTIBLE"," 3.2",6,"Manual(M6)","R",32,16,23,18,17.5,29.5431,21.4314,"P","G","","",74,9,"","","","",1626,"MOTORSPORT","",4,"02"
"MINICOMPACT CARS","BMW","M3 CONVERTIBLE"," 3.2",6,"Auto(S6)","R",32,16,22,18,17.7191,28.1243,21.2583,"P","G","","",74,9,"","","","",1626,"MOTORSPORT","6MODE ",4,"02"
"MINICOMPACT CARS","JAGUAR","JAGUAR XK8 CONVERTIBLE"," 4.2",8,"Auto(L6)","R",309,18,26,21,19.598,33.0439,23.991,"P","","","",70,10,"","","","",1392," ","2MODE CLKUP ",4,"02"
"MINICOMPACT CARS","JAGUAR","JAGUAR XKR CONVERTIBLE"," 4.2",8,"Auto(L6)","R",310,16,23,18,17.5722,29.1723,21.4018,"P","G","","S",70,10,"","","","",1626," ","2MODE CLKUP ",4,"02"
"MINICOMPACT CARS","LEXUS","SC 430"," 4.3",8,"Auto(L5)","R",19,18,23,20,19.4718,29.9479,23.1096,"P","","","",75,9,"","","","",1462," ","2MODE CLKUP ",4,"02"
"MINICOMPACT CARS","MINI","MINI COOPER"," 1.6",4,"Auto(AV)","F",16,26,34,29,28.9,44.2,34.2323,"P","","","",77,7,"","","","",1009," ","2MODE ",4,"02"
"MINICOMPACT CARS","MINI","MINI COOPER"," 1.6",4,"Manual(M5)","F",16,28,36,31,31.1,46.7,36.6021,"P","","","",77,7,"","","","",945," ","",4,"02"
"MINICOMPACT CARS","MINI","MINI COOPER CONVERTIBLE"," 1.6",4,"Auto(AV)","F",16,26,33,29,28.8,41.9,33.5153,"P","","","",70,7,"","","","",1009," ","2MODE ",4,"02"
"MINICOMPACT CARS","MINI","MINI COOPER CONVERTIBLE"," 1.6",4,"Manual(M5)","F",16,27,35,30,30.4,45.2,35.6533,"P","","","",70,7,"","","","",974," ","",4,"02"
"MINICOMPACT CARS","MINI","MINI COOPER S"," 1.6",4,"Manual(M6)","F",16,25,32,27,27.4286,40.9403,32.2127,"P","","","",77,7,"","","","",1082," ","",4,"02"
"MINICOMPACT CARS","MINI","MINI COOPER S CONVERTIBLE"," 1.6",4,"Manual(M6)","F",16,25,32,27,27.4286,40.9403,32.2127,"P","","","",70,7,"","","","",1082," ","",4,"02"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER"," 2.4",4,"Manual(M5)","F",20,23,31,26,25.5,39.2589,30.2746,"R","","","",75,7,"","","","",1040,"SOHC","",4,"02"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER"," 2.4",4,"Auto(S4)","F",20,20,26,23,22.6205,33.8793,26.5981,"R","","","",75,7,"","","","",1174,"SOHC","2MODE CLKUP ",4,"02"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER"," 3.0",6,"Manual(M5)","F",21,20,29,23,22.6,36.8,27.3489,"P","","","",75,7,"","","","",1272,"SOHC","",4,"02"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER"," 3.0",6,"Manual(M5)","F",24,20,28,23,22.7,36.5,27.3539,"P","","","",75,7,"","","","",1272,"SOHC-VIS","",4,"02"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER"," 3.0",6,"Auto(S4)","F",21,20,28,23,22.3,35.5,26.7811,"P","","","",75,7,"","","","",1272,"SOHC","2MODE CLKUP ",4,"02"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER"," 3.0",6,"Auto(S4)","F",24,20,27,23,22.2465,34.3393,26.4358,"P","","","",75,7,"","","","",1272,"SOHC-VIS","2MODE CLKUP ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET"," 3.6",6,"Auto(L5)","R",200,19,26,21,20.8149,33.7593,25.1553,"P","","","",68,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET"," 3.6",6,"Auto(L5)","R",100,18,26,21,20.135,32.9952,24.4177,"P","","","",68,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET"," 3.6",6,"Manual(M6)","R",200,18,26,21,20.4618,33.4099,24.7841,"P","","","",68,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET"," 3.6",6,"Manual(M6)","R",100,18,26,21,19.9,33.8,24.419,"P","","","",68,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET KIT"," 3.6",6,"Auto(L5)","R",100,18,26,21,20.135,32.9952,24.4177,"P","","","",68,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET KIT"," 3.6",6,"Manual(M6)","R",100,18,26,21,19.9,33.8,24.419,"P","","","",68,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE"," 3.6",6,"Auto(L5)","R",200,19,26,21,20.9314,33.9237,25.29,"P","","","",70,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE"," 3.6",6,"Auto(L5)","R",100,18,26,21,20.1683,32.7973,24.3955,"P","","","",70,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE"," 3.6",6,"Manual(M6)","R",200,18,26,21,20.3931,33.6685,24.792,"P","","","",70,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE"," 3.6",6,"Manual(M6)","R",100,18,26,21,19.6,33.4,24.0765,"P","","","",70,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE KIT"," 3.6",6,"Auto(L5)","R",100,18,26,21,20.1683,32.7973,24.3955,"P","","","",70,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE KIT"," 3.6",6,"Manual(M6)","R",100,18,26,21,19.6,33.4,24.0765,"P","","","",70,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 S CABRIOLET"," 3.8",6,"Auto(L5)","R",200,19,26,21,20.4886,32.4968,24.575,"P","","","",68,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 S CABRIOLET"," 3.8",6,"Manual(M6)","R",200,18,26,21,19.9597,32.6825,24.1988,"P","","","",68,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 S COUPE"," 3.8",6,"Auto(L5)","R",200,19,26,21,20.5677,32.8016,24.7159,"P","","","",70,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 2 S COUPE"," 3.8",6,"Manual(M6)","R",200,18,26,21,19.863,32.9215,24.1788,"P","","","",70,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 CABRIOLET"," 3.6",6,"Auto(L5)","4",100,17,23,19,18.9277,29.9987,22.697,"P","","","",68,5,"","","","",1539," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 CABRIOLET"," 3.6",6,"Manual(M6)","4",100,17,24,19,18.7,30.3,22.5921,"P","","","",68,5,"","","","",1539," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 CABRIOLET KIT"," 3.6",6,"Auto(L5)","4",100,17,23,19,18.9277,29.9987,22.697,"P","","","",68,5,"","","","",1539," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 CABRIOLET KIT"," 3.6",6,"Manual(M6)","4",100,17,24,19,18.7,30.3,22.5921,"P","","","",68,5,"","","","",1539," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S CABRIOLET"," 3.6",6,"Auto(L5)","4",100,17,23,19,18.9277,29.9987,22.697,"P","","","",68,5,"","","","",1539," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S CABRIOLET"," 3.6",6,"Manual(M6)","4",100,17,24,19,18.7,30.3,22.5921,"P","","","",68,5,"","","","",1539," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S CABRIOLET KIT"," 3.6",6,"Auto(L5)","4",100,17,23,19,18.9277,29.9987,22.697,"P","","","",68,5,"","","","",1539," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S CABRIOLET KIT"," 3.6",6,"Manual(M6)","4",100,17,24,19,18.7,30.3,22.5921,"P","","","",68,5,"","","","",1539," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S COUPE"," 3.6",6,"Auto(L5)","4",100,17,23,19,18.8276,29.1492,22.3963,"P","","","",70,5,"","","","",1539," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S COUPE"," 3.6",6,"Manual(M6)","4",100,17,24,19,18.9,30.3,22.7521,"P","","","",70,5,"","","","",1539," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S KIT"," 3.6",6,"Auto(L5)","4",100,17,23,19,18.8276,29.1492,22.3963,"P","","","",70,5,"","","","",1539," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","CARRERA 4 S KIT"," 3.6",6,"Manual(M6)","4",100,17,24,19,18.9,30.3,22.7521,"P","","","",70,5,"","","","",1539," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TARGA"," 3.6",6,"Auto(L5)","R",100,18,26,21,20.135,32.9952,24.4177,"P","","","",70,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TARGA"," 3.6",6,"Manual(M6)","R",100,18,26,21,19.9,33.8,24.419,"P","","","",70,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TARGA KIT"," 3.6",6,"Auto(L5)","R",100,18,26,21,20.135,32.9952,24.4177,"P","","","",70,5,"","","","",1392," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TARGA KIT"," 3.6",6,"Manual(M6)","R",100,18,26,21,19.9,33.8,24.419,"P","","","",70,5,"","","","",1392," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO"," 3.6",6,"Auto(L5)","4",500,14,22,17,16.0257,28.2799,19.9075,"P","G","T","",70,5,"","","","",1720," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO"," 3.6",6,"Manual(M6)","4",500,15,22,17,16.5805,28.3585,20.3916,"P","G","T","",70,5,"","","","",1720," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO CAB"," 3.6",6,"Auto(L5)","4",500,14,22,17,15.7187,27.7531,19.5295,"P","G","T","",68,5,"","","","",1720," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO CAB"," 3.6",6,"Manual(M6)","4",500,15,22,18,16.7753,28.6776,20.6279,"P","G","T","",68,5,"","","","",1626," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO CAB KIT"," 3.6",6,"Auto(L5)","4",500,14,22,17,15.7187,27.7531,19.5295,"P","G","T","",68,5,"","","","",1720," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO CAB KIT"," 3.6",6,"Manual(M6)","4",500,15,22,18,16.7753,28.6776,20.6279,"P","G","T","",68,5,"","","","",1626," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO CAB S"," 3.6",6,"Auto(L5)","4",500,14,22,17,15.7187,27.7531,19.5295,"P","G","T","",68,5,"","","","",1720," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO CAB S"," 3.6",6,"Manual(M6)","4",500,15,22,18,16.7753,28.6776,20.6279,"P","G","T","",68,5,"","","","",1626," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO KIT"," 3.6",6,"Auto(L5)","4",500,14,22,17,16.0257,28.2799,19.9075,"P","G","T","",70,5,"","","","",1720," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO KIT"," 3.6",6,"Manual(M6)","4",500,15,22,17,16.62,28.3386,20.4198,"P","G","T","",70,5,"","","","",1720," ","",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO S"," 3.6",6,"Auto(L5)","4",500,14,22,17,16.0257,28.2799,19.9075,"P","G","T","",70,5,"","","","",1720," ","2MODE ",4,"02"
"MINICOMPACT CARS","PORSCHE","TURBO   4 911 TURBO S"," 3.6",6,"Manual(M6)","4",500,15,22,17,16.62,28.3386,20.4198,"P","G","T","",70,5,"","","","",1720," ","",4,"02"
"MINICOMPACT CARS","VOLKSWAGEN","NEW BEETLE CONVERTIBLE"," 1.8",4,"Manual(M5)","F",10,25,30,27,27.3,38.6,31.442,"P","","T","",78,5,"","","","",1082," ","",5,"02"
"MINICOMPACT CARS","VOLKSWAGEN","NEW BEETLE CONVERTIBLE"," 1.8",4,"Auto(S6)","F",10,22,30,25,24.4057,38.6291,29.2527,"P","","T","",78,5,"","","","",1170," ","3MODE CLKUP ",5,"02"
"MINICOMPACT CARS","VOLKSWAGEN","NEW BEETLE CONVERTIBLE"," 2.0",4,"Manual(M5)","F",4,24,30,26,26.5131,38.907,30.9497,"R","","","",78,5,"","","","",1040," ","",2,"02"
