"class","manufacturer","model","displ","cyl","trans","drv","cty","hwy","fl","G","T","S","twodoor.p","twodoor.l","fourdoor.p","fourdoor.l","hatch.p","hatch.l","eng.dscr","trans.dscr","year","vpc","bidx","x5c","eng.dscr.1","eng.dscr.2"
"subcompact cars","bmw","m3",3.2,6,"auto(l5)","r",17,26,"r",FALSE,FALSE,FALSE,82,9,86,10,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","m3",3.2,6,"manual(m5)","r",18,26,"r",FALSE,FALSE,FALSE,82,9,86,10,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","camaro",3.8,6,"auto(l4)","r",17,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,13,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","camaro",3.8,6,"manual(m5)","r",17,27,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,13,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","camaro",5.7,8,"auto(l4)","r",15,23,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,13,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","camaro",5.7,8,"manual(m6)","r",16,25,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,13,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","cavalier",2.2,4,"auto(a3)","f",21,26,"r",FALSE,FALSE,FALSE,85,12,92,14,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","cavalier",2.2,4,"auto(l4)","f",21,29,"r",FALSE,FALSE,FALSE,85,12,92,14,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","cavalier",2.2,4,"manual(m5)","f",21,31,"r",FALSE,FALSE,FALSE,85,12,92,14,NA,NA,"","sil",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","cavalier",2.4,4,"auto(l4)","f",19,29,"r",FALSE,FALSE,FALSE,85,12,92,14,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","cavalier",2.4,4,"manual(m5)","f",21,30,"r",FALSE,FALSE,FALSE,85,12,92,14,NA,NA,"","sil",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","metro",1,3,"manual(m5)","f",37,44,"r",FALSE,FALSE,FALSE,NA,NA,82,10,81,8,"","sil",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","metro",1.3,4,"auto(a3)","f",26,31,"r",FALSE,FALSE,FALSE,NA,NA,82,10,81,8,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","chevrolet","metro",1.3,4,"manual(m5)","f",33,39,"r",FALSE,FALSE,FALSE,NA,NA,82,10,81,8,"","sil",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"auto(l4)","f",18,27,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,79,15,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"auto(l4)","f",18,25,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"auto(l4)","4",17,23,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"auto(l4)","f",18,27,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,79,15,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"auto(l4)","f",18,25,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"auto(l4)","4",17,23,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"manual(m5)","f",21,30,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,79,15,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"manual(m5)","f",21,29,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"manual(m5)","4",18,26,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"manual(m5)","f",21,30,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,79,15,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"manual(m5)","f",21,29,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","eagle","eagle talon",2,4,"manual(m5)","4",18,26,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","ferrari","ferrari 456 gt/gta",5.5,12,"auto(l4)","r",9,14,"p",TRUE,FALSE,FALSE,87,7,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","ferrari","ferrari 456 gt/gta",5.5,12,"manual(m6)","r",9,15,"p",TRUE,FALSE,FALSE,87,7,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","escort zx2",2,4,"auto(l4)","f",22,30,"r",FALSE,FALSE,FALSE,81,12,NA,NA,NA,NA,"4v","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","escort zx2",2,4,"manual(m5)","f",23,30,"r",FALSE,FALSE,FALSE,81,12,NA,NA,NA,NA,"4v","",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","mustang",3.8,6,"auto(l4)","r",17,26,"r",FALSE,FALSE,FALSE,83,11,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","mustang",3.8,6,"manual(m5)","r",18,26,"r",FALSE,FALSE,FALSE,83,11,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","mustang",4.6,8,"auto(l4)","r",15,22,"r",FALSE,FALSE,FALSE,83,11,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","mustang",4.6,8,"manual(m5)","r",15,24,"p",FALSE,FALSE,FALSE,83,11,NA,NA,NA,NA,"4v","",1998,NA,NA,NA,NA,NA
"subcompact cars","ford","mustang",4.6,8,"manual(m5)","r",15,23,"r",FALSE,FALSE,FALSE,83,11,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic",1.6,4,"auto(l4)","f",25,33,"r",FALSE,FALSE,FALSE,85,12,90,9,86,13,"sohc","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic",1.6,4,"auto(l4)","f",24,31,"c",FALSE,FALSE,FALSE,85,12,90,9,86,13,"cng","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic",1.6,4,"auto(l4)","f",24,32,"r",FALSE,FALSE,FALSE,85,12,90,9,86,13,"sohc-vtec","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic",1.6,4,"manual(m5)","f",28,33,"r",FALSE,FALSE,FALSE,85,12,90,9,86,13,"sohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic",1.6,4,"manual(m5)","f",26,32,"r",FALSE,FALSE,FALSE,85,12,90,9,86,13,"sohc-vtec","",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic hx",1.6,4,"auto(av)","f",29,35,"r",FALSE,FALSE,FALSE,85,12,NA,NA,NA,NA,"vtec-e","",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","civic hx",1.6,4,"manual(m5)","f",31,39,"r",FALSE,FALSE,FALSE,85,12,NA,NA,NA,NA,"vtec-e","",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","prelude",2.2,4,"auto(l4)","f",18,25,"p",FALSE,FALSE,FALSE,78,9,NA,NA,NA,NA,"dohc-vtec","2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","honda","prelude",2.2,4,"manual(m5)","f",21,25,"p",FALSE,FALSE,FALSE,78,9,NA,NA,NA,NA,"dohc-vtec","",1998,NA,NA,NA,NA,NA
"subcompact cars","hyundai","tiburon",2,4,"auto(l4)","f",19,26,"r",FALSE,FALSE,FALSE,80,13,NA,NA,NA,NA,"","2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","hyundai","tiburon",2,4,"manual(m5)","f",19,29,"r",FALSE,FALSE,FALSE,80,13,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","jaguar","jaguar xk8",4,8,"auto(l5)","r",15,23,"p",FALSE,FALSE,FALSE,75,11,NA,NA,NA,NA,"","ems 2mode",1998,NA,NA,NA,NA,NA
"subcompact cars","lexus","sc 300/sc 400",3,6,"auto(l4)","r",17,22,"p",FALSE,FALSE,FALSE,85,9,NA,NA,NA,NA,"","2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","lexus","sc 300/sc 400",4,8,"auto(l5)","r",17,23,"p",FALSE,FALSE,FALSE,85,9,NA,NA,NA,NA,"","2mode 2lkup",1998,NA,NA,NA,NA,NA
"subcompact cars","mercedes-benz","clk320",3.2,6,"auto(l5)","r",18,26,"p",FALSE,FALSE,FALSE,81,11,NA,NA,NA,NA,"","ems 2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt",3,6,"auto(l4)","f",16,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,11,"sohc","2mode",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt",3,6,"auto(l4)","f",16,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,11,"dohc","2mode",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt",3,6,"manual(m5)","f",17,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,11,"sohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt",3,6,"manual(m5)","f",17,23,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,82,11,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt",3,6,"manual(m6)","4",16,22,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,82,11,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt spyder",3,6,"auto(l4)","f",16,21,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,84,4,"dohc","2mode",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi 3000gt spyder",3,6,"manual(m6)","4",15,23,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,84,4,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi eclipse",2,4,"auto(l4)","f",18,27,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,79,15,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi eclipse",2,4,"auto(l4)","4",17,23,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi eclipse",2,4,"auto(l4)","f",18,25,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi eclipse",2,4,"manual(m5)","f",21,30,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,79,15,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi eclipse",2,4,"manual(m5)","f",21,29,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi eclipse",2,4,"manual(m5)","4",18,26,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,79,15,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi mirage",1.5,4,"auto(l4)","f",24,33,"r",FALSE,FALSE,FALSE,86,11,91,11,NA,NA,"sohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi mirage",1.5,4,"manual(m5)","f",28,36,"r",FALSE,FALSE,FALSE,86,11,91,11,NA,NA,"sohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi mirage",1.8,4,"auto(l4)","f",23,30,"r",FALSE,FALSE,FALSE,86,11,91,11,NA,NA,"sohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","mitsubishi","mitsubishi mirage",1.8,4,"manual(m5)","f",25,33,"r",FALSE,FALSE,FALSE,86,11,91,11,NA,NA,"sohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","nissan","sentra/200sx",1.6,4,"auto(l4)","f",23,33,"r",FALSE,FALSE,FALSE,84,10,87,11,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","nissan","sentra/200sx",1.6,4,"manual(m5)","f",25,35,"r",FALSE,FALSE,FALSE,84,10,87,11,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","nissan","sentra/200sx",2,4,"auto(l4)","f",21,27,"r",FALSE,FALSE,FALSE,84,10,87,11,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","nissan","sentra/200sx",2,4,"manual(m5)","f",21,29,"r",FALSE,FALSE,FALSE,84,10,87,11,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","pontiac","firebird/formula",3.8,6,"auto(l4)","r",17,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,84,13,"","clkup",1998,NA,NA,NA,NA,NA
